title,PC1,PC2,PC3,PC4,PC5,PC6,PC7
<<<<<<< HEAD
Kate & Leopold (2001),0.36581108229449144,1.6746794870934707,0.6975357755585799,-0.8674740889370676,0.6149855230491377,-0.7608264673561406,-0.5100623106445015
The Sorcerer's Apprentice (2010),0.33494910770195346,0.2534063752358525,-2.3691577480328494,-0.6660943447984629,0.6550855278216442,-0.8721045609937846,0.03781573033727768
Fantastic Four (2005),2.526708673345682,0.662645937063758,-0.6054627029508791,-1.0214183996422443,0.42768096303335845,-0.6468467599335869,0.4228859252519543
Fantastic Four (2015),0.9873379665630242,-0.07277381223555038,-0.46029983227825794,0.12716250929789988,-0.0028438420777130726,-0.7301685621431966,1.1135541431573095
Frida (2002),0.07530794664830473,0.8451893961451942,1.396534900220105,-0.8969458900205202,0.16230493477055516,-0.574120687733464,-0.6714686812546495
From Hell (2001),0.33045816542134393,0.7834728920110255,1.0147840385103866,-1.1586673714990108,0.457786813726741,-0.868078459762479,-0.24544669529677857
The Lord of the Rings: The Fellowship of the Ring (2001),9.893655263586083,-1.69806782635851,4.17050595569136,-2.2011919143605296,0.04191982173954166,0.9729237019164587,4.904081833152897
Resident Evil (2002),0.6520797611030442,0.7586796253701076,0.5028988536432297,-1.4185897782399177,-0.2724984862103655,-0.8839439676087016,0.3546332543241709
The Shipping News (2001),-0.6283256399137577,1.1182527631826915,0.8467550278628543,-1.162047470147338,0.21136654877969274,-0.1371908516551439,-0.5719237206029751
Trance (2013),-2.0090842880283417,-0.46008755983093025,-1.1887020061781342,-0.5855902985578358,-0.015269861005699152,0.9933032367436404,0.6064391336028607
Men in Black II (2002),3.339159829277694,0.5727334955529488,-0.8177633701061787,-1.7282942502528147,-0.3105571009024567,-0.4021183126529894,0.240633091012401
Corpse Bride (2005),0.8975186128687791,1.011585524574611,0.3985672584524367,-1.1486711003307735,-1.5225680068618548,-0.8208350578783173,0.20346720914823777
Star Wars: Episode II - Attack of the Clones (2002),5.783440424540047,-0.11399200341298117,0.6461654229073335,-1.4107129752737726,0.986931365229527,0.32079454894063203,1.0263392723632245
Star Wars: Episode III - Revenge of the Sith (2005),7.3953671032922825,-0.749051126216201,0.7293352862707855,-1.1990257472579011,0.2955228048622189,1.0118869339721455,0.6879032676698597
Heartbreakers (2001),0.14935853536340796,1.982514994507512,0.8200351851784687,-0.6887427700133543,0.8666252045417704,-0.5027977807904328,-0.5805803012709584
Shrek (2001),4.818459535919915,0.9073866389637748,0.7608335332879937,-1.7955511581417294,-1.3823390274942917,-0.028402077972237844,0.926399242712257
Split (2017),4.016444033439897,-4.934831823877495,11.705097408554995,7.246356294047258,18.815399010714696,-0.998321424185115,-2.12394260103081
